sku,product_type,category
5100170,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100174,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100178,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100186,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100187,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100190,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100198,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100199,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100202,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100203,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100206,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100207,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100211,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100212,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100216,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100217,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100220,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100221,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100225,Oven Mitts & Pot Holders,Cookware & Bakeware:1
5100226,Oven Mitts & Pot Holders,Cookware & Bakeware:1
804991,Oven Mitts & Pot Holders,Cookware & Bakeware:1
806549,Oven Mitts & Pot Holders,Cookware & Bakeware:1
806550,Oven Mitts & Pot Holders,Cookware & Bakeware:1
806551,Oven Mitts & Pot Holders,Cookware & Bakeware:1
806552,Oven Mitts & Pot Holders,Cookware & Bakeware:1
204200,Pan Sets,Cookware & Bakeware:1
204202,Pan Sets,Cookware & Bakeware:1
204211,Pan Sets,Cookware & Bakeware:1
204212,Pan Sets,Cookware & Bakeware:1
204214,Pan Sets,Cookware & Bakeware:1
204215,Pan Sets,Cookware & Bakeware:1
204216,Pan Sets,Cookware & Bakeware:1
208045,Pan Sets,Cookware & Bakeware:1
403553,Pan Sets,Cookware & Bakeware:1
408106,Pan Sets,Cookware & Bakeware:1
408114,Pan Sets,Cookware & Bakeware:1
408115,Pan Sets,Cookware & Bakeware:1
408119,Pan Sets,Cookware & Bakeware:1
408131,Pan Sets,Cookware & Bakeware:1
408160,Pan Sets,Cookware & Bakeware:1
408161,Pan Sets,Cookware & Bakeware:1
408162,Pan Sets,Cookware & Bakeware:1
408163,Pan Sets,Cookware & Bakeware:1
408168,Pan Sets,Cookware & Bakeware:1
408172,Pan Sets,Cookware & Bakeware:1
408173,Pan Sets,Cookware & Bakeware:1
408183,Pan Sets,Cookware & Bakeware:1
408190,Pan Sets,Cookware & Bakeware:1
408193,Pan Sets,Cookware & Bakeware:1
408200,Pan Sets,Cookware & Bakeware:1
408208,Pan Sets,Cookware & Bakeware:1
408210,Pan Sets,Cookware & Bakeware:1
408211,Pan Sets,Cookware & Bakeware:1
408212,Pan Sets,Cookware & Bakeware:1
408213,Pan Sets,Cookware & Bakeware:1
408214,Pan Sets,Cookware & Bakeware:1
408215,Pan Sets,Cookware & Bakeware:1
408216,Pan Sets,Cookware & Bakeware:1
408220,Pan Sets,Cookware & Bakeware:1
408221,Pan Sets,Cookware & Bakeware:1
408222,Pan Sets,Cookware & Bakeware:1
408223,Pan Sets,Cookware & Bakeware:1
408224,Pan Sets,Cookware & Bakeware:1
408225,Pan Sets,Cookware & Bakeware:1
408226,Pan Sets,Cookware & Bakeware:1
408227,Pan Sets,Cookware & Bakeware:1
408228,Pan Sets,Cookware & Bakeware:1
408232,Pan Sets,Cookware & Bakeware:1
408233,Pan Sets,Cookware & Bakeware:1
408234,Pan Sets,Cookware & Bakeware:1
408235,Pan Sets,Cookware & Bakeware:1
408236,Pan Sets,Cookware & Bakeware:1
408237,Pan Sets,Cookware & Bakeware:1
408238,Pan Sets,Cookware & Bakeware:1
408239,Pan Sets,Cookware & Bakeware:1
408243,Pan Sets,Cookware & Bakeware:1
408244,Pan Sets,Cookware & Bakeware:1
408245,Pan Sets,Cookware & Bakeware:1
408246,Pan Sets,Cookware & Bakeware:1
2560000,Pasta Makers,Gadgets:1
2560003,Pasta Makers,Gadgets:1
2560005,Pasta Makers,Gadgets:1
2560007,Pasta Makers,Gadgets:1
2560008,Pasta Makers,Gadgets:1
2560009,Pasta Makers,Gadgets:1
8426260,Pasta Makers,Gadgets:1
201991,Saucepans & Stockpots,Cookware & Bakeware:1
201993,Saucepans & Stockpots,Cookware & Bakeware:1
201995,Saucepans & Stockpots,Cookware & Bakeware:1
407405,Saucepans & Stockpots,Cookware & Bakeware:1
408117,Saucepans & Stockpots,Cookware & Bakeware:1
408118,Saucepans & Stockpots,Cookware & Bakeware:1
408121,Saucepans & Stockpots,Cookware & Bakeware:1
408123,Saucepans & Stockpots,Cookware & Bakeware:1
408135,Saucepans & Stockpots,Cookware & Bakeware:1
408136,Saucepans & Stockpots,Cookware & Bakeware:1
408145,Saucepans & Stockpots,Cookware & Bakeware:1
408164,Saucepans & Stockpots,Cookware & Bakeware:1
408170,Saucepans & Stockpots,Cookware & Bakeware:1
408171,Saucepans & Stockpots,Cookware & Bakeware:1
408177,Saucepans & Stockpots,Cookware & Bakeware:1
408206,Saucepans & Stockpots,Cookware & Bakeware:1
408207,Saucepans & Stockpots,Cookware & Bakeware:1
408217,Saucepans & Stockpots,Cookware & Bakeware:1
408218,Saucepans & Stockpots,Cookware & Bakeware:1
408219,Saucepans & Stockpots,Cookware & Bakeware:1
408231,Saucepans & Stockpots,Cookware & Bakeware:1
408240,Saucepans & Stockpots,Cookware & Bakeware:1
408241,Saucepans & Stockpots,Cookware & Bakeware:1
408242,Saucepans & Stockpots,Cookware & Bakeware:1
408247,Saucepans & Stockpots,Cookware & Bakeware:1
408249,Saucepans & Stockpots,Cookware & Bakeware:1
805312,Saucepans & Stockpots,Cookware & Bakeware:1
722257,Scoops,Cutlery:1
804958,Scoops,Cutlery:1
805376,Scoops,Cutlery:1
806119,Scoops,Cutlery:1
806172,Scoops,Cutlery:1
806178,Scoops,Cutlery:1
806332,Scoops,Cutlery:1
806367,Scoops,Cutlery:1
806372,Scoops,Cutlery:1
806579,Scoops,Cutlery:1
5100102,Tea Cosies,Tableware & Drinkware:1
5100109,Tea Cosies,Tableware & Drinkware:1
5100117,Tea Cosies,Tableware & Drinkware:1
5100191,Tea Cosies,Tableware & Drinkware:1
5100192,Tea Cosies,Tableware & Drinkware:1
5100210,Tea Cosies,Tableware & Drinkware:1
5100223,Tea Cosies,Tableware & Drinkware:1
1104332,Plates & Bowls,Tableware & Drinkware:1
1104340,Plates & Bowls,Tableware & Drinkware:1
1104348,Plates & Bowls,Tableware & Drinkware:1
1104356,Plates & Bowls,Tableware & Drinkware:1
1104364,Plates & Bowls,Tableware & Drinkware:1
1104371,Plates & Bowls,Tableware & Drinkware:1
1104372,Plates & Bowls,Tableware & Drinkware:1
1104380,Plates & Bowls,Tableware & Drinkware:1
1104387,Plates & Bowls,Tableware & Drinkware:1
1104388,Plates & Bowls,Tableware & Drinkware:1
1104390,Plates & Bowls,Tableware & Drinkware:1
1104396,Plates & Bowls,Tableware & Drinkware:1
1104404,Plates & Bowls,Tableware & Drinkware:1
1104412,Plates & Bowls,Tableware & Drinkware:1
1104420,Plates & Bowls,Tableware & Drinkware:1
1104428,Plates & Bowls,Tableware & Drinkware:1
1104435,Plates & Bowls,Tableware & Drinkware:1
1104436,Plates & Bowls,Tableware & Drinkware:1
1104451,Plates & Bowls,Tableware & Drinkware:1
1104452,Plates & Bowls,Tableware & Drinkware:1
1104558,Serving Dishes,Serveware:1
1104573,Serving Dishes,Serveware:1
1104577,Plates & Bowls,Tableware & Drinkware:1
1104579,Plates & Bowls,Tableware & Drinkware:1
1104637,Serving Dishes,Serveware:1
1104638,Serving Dishes,Serveware:1
1104639,Serving Dishes,Serveware:1
1104640,Serving Dishes,Serveware:1
1104641,Serving Dishes,Serveware:1
1104644,Serving Dishes,Serveware:1
1206238,Plates & Bowls,Tableware & Drinkware:1
1206307,Plates & Bowls,Tableware & Drinkware:1
1209745,Bowls,Cookware & Bakeware:1
1402621,Plates & Bowls,Tableware & Drinkware:1
1403219,Serving Dishes,Serveware:1
1403220,Serving Dishes,Serveware:1
1403221,Serving Dishes,Serveware:1
1403222,Serving Dishes,Serveware:1
1410418,Plates & Bowls,Tableware & Drinkware:1
507684,Plates & Bowls,Tableware & Drinkware:1
508974,Plates & Bowls,Tableware & Drinkware:1
509514,Plates & Bowls,Tableware & Drinkware:1
509888,Plates & Bowls,Tableware & Drinkware:1
721715,Plates & Bowls,Tableware & Drinkware:1
722112,Plates & Bowls,Tableware & Drinkware:1
722275,Serving Dishes,Serveware:1
722277,Serving Dishes,Serveware:1
722484,Serving Dishes,Serveware:1
722636,Plates & Bowls,Tableware & Drinkware:1
722640,Plates & Bowls,Tableware & Drinkware:1
722778,Plates & Bowls,Tableware & Drinkware:1
722846,Plates & Bowls,Tableware & Drinkware:1
722847,Plates & Bowls,Tableware & Drinkware:1
722849,Plates & Bowls,Tableware & Drinkware:1
722850,Plates & Bowls,Tableware & Drinkware:1
722857,Plates & Bowls,Tableware & Drinkware:1
722858,Plates & Bowls,Tableware & Drinkware:1
722860,Plates & Bowls,Tableware & Drinkware:1
722861,Plates & Bowls,Tableware & Drinkware:1
80118CN,Plates & Bowls,Tableware & Drinkware:1
80119CN,Plates & Bowls,Tableware & Drinkware:1
80124CN,Sugar Bowls,Tableware & Drinkware:1
804941,Bowls,Cookware & Bakeware:1
805291,Plates & Bowls,Tableware & Drinkware:1
805297,Plates & Bowls,Tableware & Drinkware:1
805298,Plates & Bowls,Tableware & Drinkware:1
